items_id,rfid,model_id,dateAcquired,location_id,serialNum,BarCode,comments,price,pbhrNumber,user_id,itemStatus,calibration_due,last_calibration,accountedFor,alias,delete_Boolean
4669,2F2203138544D32000000055,5184,4/28/2016,53,9L80MM1,9L80MM1,NULL,1710,NULL,89,NULL,4/28/2017,4/28/2016,NULL,USMANBDDRYNOLDS,0
5138,2F2203438544D32000000002,5178,4/28/2016,58,SG50330039,SG50330039,NULL,142.52,NULL,11,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5139,2F2203438544D32000000003,5178,4/28/2016,58,SG50260003,SG50260003,NULL,142.52,NULL,152,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5140,2F2203438544D32000000004,5178,4/28/2016,58,SG50270002,SG50270002,NULL,142.52,NULL,152,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5141,2F2203438544D32000000007,5178,4/28/2016,58,SG50330026,SG50330026,NULL,142.52,NULL,152,NULL,4/28/2017,4/28/2016,Missing,NULL,0
4692,2F2203438544D32000000009,5178,4/28/2016,53,SG50330027,SG50330027,NULL,142.52,NULL,152,NULL,4/28/2017,4/28/2016,Missing,NULL,0
4654,2F2203438544D3200000000B,5178,4/28/2016,50,SG50330016,SG50330016,NULL,142.52,NULL,47,NULL,4/28/2017,4/28/2016,Missing,NULL,0
4693,2F2203438544D3200000000F,5178,4/28/2016,53,SG50330017,SG50330017,NULL,142.52,NULL,32,NULL,4/28/2017,4/28/2016,Missing,NULL,0
4694,2F2203438544D32000000011,5178,4/28/2016,53,SG50330046,SG50330046,NULL,142.52,NULL,47,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5042,2F2203438544D32000000037,5206,4/28/2016,57,CN0W160G7287298H0EPI,CN0W160G7287298H0EPI,NULL,129,NULL,44,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5043,2F2203438544D32000000038,5206,4/28/2016,57,CN0W160G7287297U0L5I,CN0W160G7287297U0L5I,NULL,129,NULL,152,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5044,2F2203438544D32000000039,5206,4/28/2016,57,CN0W160G7287297U0KRI,CN0W160G7287297U0KRI,NULL,129,NULL,25,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5045,2F2203438544D3200000003A,5206,4/28/2016,57,CN0W160G7287297U04WI,CN0W160G7287297U04WI,NULL,129,NULL,44,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5046,2F2203438544D3200000003B,5206,4/28/2016,57,CN0W160G7287297U0MKI,CN0W160G7287297U0MKI,NULL,129,NULL,44,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5047,2F2203438544D3200000003C,5206,4/28/2016,57,CN0W160G7287297U0KDI,CN0W160G7287297U0KDI,NULL,129,NULL,44,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5048,2F2203438544D3200000003D,5206,4/28/2016,57,CN0W160G7287297U0KVI,CN0W160G7287297U0KVI,NULL,129,NULL,44,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5049,2F2203438544D3200000003E,5206,4/28/2016,57,CN0W160G7287298H0UCI,CN0W160G7287298H0UCI,NULL,129,NULL,44,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5050,2F2203438544D3200000003F,5206,4/28/2016,57,CN0W160G7287298H0GCI,CN0W160G7287298H0GCI,NULL,129,NULL,44,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5051,2F2203438544D32000000040,5206,4/28/2016,57,CN0W160G7287298H0GNI,CN0W160G7287298H0GNI,NULL,129,NULL,44,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5052,2F2203438544D32000000041,5206,4/28/2016,57,CN0W160G7287298H0FYI,CN0W160G7287298H0FYI,NULL,129,NULL,44,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5053,2F2203438544D32000000042,5206,4/28/2016,57,CN0W160G7287298H0E4I,CN0W160G7287298H0E4I,NULL,129,NULL,44,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5054,2F2203438544D32000000043,5206,4/28/2016,57,CN0W160G7287298H297I,CN0W160G7287298H297I,NULL,129,NULL,44,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5055,2F2203438544D32000000044,5206,4/28/2016,57,CN0W160G7287298H0G6I,CN0W160G7287298H0G6I,NULL,129,NULL,44,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5056,2F2203438544D32000000045,5206,4/28/2016,57,CN0W160G7287298H0G9I,CN0W160G7287298H0G9I,NULL,129,NULL,44,NULL,4/28/2017,4/28/2016,Missing,NULL,0
5003,2F2203438544D32000000046,5166,4/28/2016,57,9Z99ZK1,9Z99ZK1,NULL,955,NULL,44,NULL,4/28/2017,4/28/2016,Missing,USMAWKDD10604,0
5004,2F2203438544D32000000047,5166,4/28/2016,57,JTD9ZK1,JTD9ZK1,NULL,955,NULL,44,NULL,4/28/2017,4/28/2016,Missing,USMAWKDD10603,0
5005,2F2203438544D32000000048,5166,4/28/2016,57,5C19ZK1,5C19ZK1,NULL,955,NULL,44,NULL,4/28/2017,4/28/2016,Missing,USMAWKDD10602,0
5006,2F2203438544D32000000049,5166,4/28/2016,57,FQ1WVK1,FQ1WVK1,NULL,955,NULL,44,NULL,4/28/2017,4/28/2016,Missing,USMAWKDD10601,0
5007,2F2203438544D3200000004A,5166,4/28/2016,57,CN1WVK1,CN1WVK1,NULL,955,NULL,44,NULL,4/28/2017,4/28/2016,Missing,USMAWKDD10607,0
5008,2F2203438544D3200000004B,5166,4/28/2016,57,GC19ZK1,GC19ZK1,NULL,955,NULL,44,NULL,4/28/2017,4/28/2016,Missing,USMAWKDD10606,0
5009,2F2203438544D3200000004C,5166,4/28/2016,57,7YL9ZK1,7YL9ZK1,NULL,955,NULL,44,NULL,4/28/2017,4/28/2016,Missing,USMAWKDD10605,0
5010,2F2203438544D3200000004D,5166,4/28/2016,57,3R1WVK1,3R1WVK1,NULL,955,NULL,44,NULL,4/28/2017,4/28/2016,Missing,USMAWKDD10600,0
5011,2F2203438544D3200000004E,5166,4/28/2016,57,FMH9ZK1,FMH9ZK1,NULL,955,NULL,44,NULL,4/28/2017,4/28/2016,Missing,USMAWKDD10610,0
