location_id,roomeNumber,created_at,updated_At,delete_Boolean
46,????,4/6/2011,4/6/2011,0
47,CS Program,4/6/2011,4/6/2011,0
48,CSG,4/6/2011,4/6/2011,0
49,ELEX,4/6/2011,4/6/2011,0
50,ESG,4/6/2011,4/6/2011,0
51,missing,4/6/2011,4/6/2011,0
52,out,4/6/2011,4/6/2011,0
53,personal,4/6/2011,4/6/2011,0
54,PRC,4/6/2011,4/6/2011,0
55,Robotics,4/6/2011,4/6/2011,0
56,supply,4/6/2011,4/6/2011,0
57,TH106,4/6/2011,4/6/2011,0
58,TH111,4/6/2011,4/6/2011,0
59,TH1134,4/6/2011,4/6/2011,0
60,TH1138,4/6/2011,4/6/2011,0
61,TH1140,4/6/2011,4/6/2011,0
62,TH1141C,4/6/2011,4/6/2011,0
63,TH1144,4/6/2011,4/6/2011,0
64,TH121,4/6/2011,4/6/2011,0
65,TH166,4/6/2011,4/6/2011,0
66,TH168,4/6/2011,4/6/2011,0
67,TH171,4/6/2011,4/6/2011,0
68,TH172,4/6/2011,4/6/2011,0
69,TH173,4/6/2011,4/6/2011,0
70,TH174,4/6/2011,4/6/2011,0
71,TH175,4/6/2011,4/6/2011,0
72,TH176,4/6/2011,4/6/2011,0
73,TH177,4/6/2011,4/6/2011,0
74,TH178,4/6/2011,4/6/2011,0
75,TH179,4/6/2011,4/6/2011,0
76,TH209,4/6/2011,4/6/2011,0
77,TH210,4/6/2011,4/6/2011,0
78,TH452,4/6/2011,4/6/2011,0
79,TH455,4/6/2011,4/6/2011,0
80,TH456,4/6/2011,4/6/2011,0
81,TH457,4/6/2011,4/6/2011,0
82,TH458,4/6/2011,4/6/2011,0
83,TH459,4/6/2011,4/6/2011,0
84,TH460,4/6/2011,4/6/2011,0
85,TH461,4/6/2011,4/6/2011,0
86,TH462,4/6/2011,4/6/2011,0
87,TH464,4/6/2011,4/6/2011,0
88,TH466,4/6/2011,4/6/2011,0
89,Turned in,4/6/2011,4/6/2011,0
