nomenclature_id,nomenclature_Name,ceated_at,updated_at,delete_Boolean
167,FUNCTION GENERATOR,2011-04-06,2011-04-06,
168,SMART PHONE,2011-04-06,2011-04-06,
169,2F2203438544D3200000009F,2011-04-06,2011-04-06,
170,"COMPUTER, DESKTOP",2011-04-06,2011-04-06,
171,"COMPUTER, LAPTOP",2011-04-06,2011-04-06,
172,ENCRYPT-DECRYPT EQUIPMENT,2011-04-06,2011-04-06,
173,"EXTERNAL DRIVE, PORTABLE",2011-04-06,2011-04-06,
174,MONITOR,2011-04-06,2011-04-06,
175,E.L.V.I.S.,2011-04-06,2011-04-06,
176,OSCILLOSCOPE,2011-04-06,2011-04-06,
177,"POWER SUPPLY, DC",2011-04-06,2011-04-06,
178,"MULTIMETER, BENCH",2011-04-06,2011-04-06,
179,"MULTIMETER, HAND",2011-04-06,2011-04-06,
180,"OSCILLOSCOPE, HAND",2011-04-06,2011-04-06,
181,FREQUENCY COUNTER,2011-04-06,2011-04-06,
182,CHIP PROGRAMMER,2011-04-06,2011-04-06,
183,ARGON LASER,2011-04-06,2011-04-06,
184,HEAT EXCHANGER,2011-04-06,2011-04-06,
185,LCR METER,2011-04-06,2011-04-06,
186,OPTICAL POWER METER,2011-04-06,2011-04-06,
187,OPTICAL TABLE,2011-04-06,2011-04-06,
188,PROBE STATION,2011-04-06,2011-04-06,
189,"CONTROL UNIT, PACKBOT",2011-04-06,2011-04-06,
190,"ROBOT, PACKBOT",2011-04-06,2011-04-06,
191,"ANALYZER, LIGHTWAVE COMPONENT",2011-04-06,2011-04-06,
192,"ANALYZER, NETWORK",2011-04-06,2011-04-06,
193,LAN GPIB GATEWAY,2011-04-06,2011-04-06,
194,LOGIC ANALYZER,2011-04-06,2011-04-06,
195,"AMPLIFIER, MICROWAVE",2011-04-06,2011-04-06,
196,"ANALYZER, SPECTRUM",2011-04-06,2011-04-06,
197,GPS SIMULATOR,2011-04-06,2011-04-06,
198,"MICROSCOPE, MONOCULAR",2011-04-06,2011-04-06,
199,MICROWAVE TRAINER KIT,2011-04-06,2011-04-06,
200,NOISE SOURCE,2011-04-06,2011-04-06,
201,"POWER METER, RF",2011-04-06,2011-04-06,
202,POWER SENSOR,2011-04-06,2011-04-06,
203,SERIAL BERT,2011-04-06,2011-04-06,
204,SIGNAL GENERATOR,2011-04-06,2011-04-06,
205,"ANALYZER, OPTICAL SPECTRUM",2011-04-06,2011-04-06,
206,"DISPLAY UNIT, OPTICAL SPECTRUM ANALYZER",2011-04-06,2011-04-06,
207,DRIVER,2011-04-06,2011-04-06,
208,FIBER COUPLED DFB LASER SOURCE,2011-04-06,2011-04-06,
209,FIBER COUPLED LASER SOURCE,2011-04-06,2011-04-06,
210,LASER OMNICHROME TUNABLE ARGON ION,2011-04-06,2011-04-06,
211,LIGHTWAVE RECEIVER,2011-04-06,2011-04-06,
212,LIGHTWAVE SOURCE,2011-04-06,2011-04-06,
213,LOW NOISE PREAMPLIFIER,2011-04-06,2011-04-06,
214,MULTI-FUNCTION OPTICAL METER,2011-04-06,2011-04-06,
215,MULTI-WAVELENGTH METER,2011-04-06,2011-04-06,
216,"OPTICAL UNIT, OPTICAL SPECTRUM ANALYZER",2011-04-06,2011-04-06,
217,POLARIZATION CONTROLLER,2011-04-06,2011-04-06,
218,POWER METER,2011-04-06,2011-04-06,
219,"POWER METER, DIGITAL",2011-04-06,2011-04-06,
220,"POWER METER, OPTICAL",2011-04-06,2011-04-06,
221,PULSE GENERATOR,2011-04-06,2011-04-06,
222,SIGNAL PROCESSOR,2011-04-06,2011-04-06,
223,SOURCE METER,2011-04-06,2011-04-06,
224,STABALIZED LIGHT SOURCE,2011-04-06,2011-04-06,
225,TUNABLE SEMICONDUCTOR LASER,2011-04-06,2011-04-06,
226,CURRENT PROBE,2011-04-06,2011-04-06,
227,DYNAMOMETER,2011-04-06,2011-04-06,
228,FUEL CELL SYSTEM,2011-04-06,2011-04-06,
229,GAUSSMETER,2011-04-06,2011-04-06,
230,MOBILE ELECTRICAL WORK CENTER,2011-04-06,2011-04-06,
231,POWER ANALYZER,2011-04-06,2011-04-06,
232,POWER LINE MONITOR,2011-04-06,2011-04-06,
233,TORQUE/SPEED CONTROLLER,2011-04-06,2011-04-06,
234,"ARBOR PRESS, MANUAL",2011-04-06,2011-04-06,
235,"BRAKE, BENDING 24'' MANUAL",2011-04-06,2011-04-06,
236,"BUFFER, PEDESTAL",2011-04-06,2011-04-06,
237,"CONTROL, INTELITEK",2011-04-06,2011-04-06,
238,"DRILL PRESS, SENSITIVE",2011-04-06,2011-04-06,
239,"FORKLIFT, MANUAL",2011-04-06,2011-04-06,
240,"GRINDER, PEDESTAL",2011-04-06,2011-04-06,
241,"GRINDER, SURFACE",2011-04-06,2011-04-06,
242,"IRON WORKER, 25-TON",2011-04-06,2011-04-06,
243,JOINTER,2011-04-06,2011-04-06,
244,"LATHE, TOOL ROOM",2011-04-06,2011-04-06,
245,"MILL, TOOL ROOM",2011-04-06,2011-04-06,
246,MILLING MACHINE,2011-04-06,2011-04-06,
247,"NOTCHER, MANUAL",2011-04-06,2011-04-06,
248,PLANER,2011-04-06,2011-04-06,
249,"PRESS PUNCH, MANUAL",2011-04-06,2011-04-06,
250,"PRINTER, 3D WITH CLEAN STATION",2011-04-06,2011-04-06,
251,SAND BLASTING CABINET,2011-04-06,2011-04-06,
252,"SANDER, BELT 6'' VERTICAL",2011-04-06,2011-04-06,
253,"SANDER, DRUM",2011-04-06,2011-04-06,
254,"SAW, COMPOUND MITER 12'' DOUBLE BEVEL SLIDING",2011-04-06,2011-04-06,
255,"SAW, HORIZONTAL BAND",2011-04-06,2011-04-06,
256,"SAW, PANEL",2011-04-06,2011-04-06,
257,"SAW, TABLE",2011-04-06,2011-04-06,
258,"SAW, VERTICAL BAND",2011-04-06,2011-04-06,
259,"SHEAR, FOOT OPERATED",2011-04-06,2011-04-06,
260,"WASHOUT, RECIRCULATING",2011-04-06,2011-04-06,
261,"WELDER, MIG",2011-04-06,2011-04-06,
262,"WELDER, TIG/ARC",2011-04-06,2011-04-06,
263,THIN CLIENT,2011-04-06,2011-04-06,
264,"ANALYZER, IMPEDANCE/GAIN-PHASE",2011-04-06,2011-04-06,
265,"PRINTER, PAINTJET XL",2011-04-06,2011-04-06,
266,"ANALYZER, AUDIO",2011-04-06,2011-04-06,
267,"ANALYZER, SEMICONDUCTOR",2011-04-06,2011-04-06,
268,TEST FIXTURE,2011-04-06,2011-04-06,
269,PRINTER,2011-04-06,2011-04-06,
270,ANALOG  UNIT,2011-04-06,2011-04-06,
271,ANALOG COMPUTER,2011-04-06,2011-04-06,
272,ANALOG OUTPUT UNIT,2011-04-06,2011-04-06,
273,"ANALYZER, SIGNAL",2011-04-06,2011-04-06,
274,CONTROL UNIT,2011-04-06,2011-04-06,
275,DATA ACQUISITION AND CONTROL UNIT,2011-04-06,2011-04-06,
276,DIGITAL SERVO CONTROLLER,2011-04-06,2011-04-06,
277,DIGITAL UNIT,2011-04-06,2011-04-06,
278,EDUCATIONAL SERVO,2011-04-06,2011-04-06,
279,FEEDBACK MOTOR UNIT,2011-04-06,2011-04-06,
280,INVERTED PENDULUM,2011-04-06,2011-04-06,
281,MECHANICAL UNIT,2011-04-06,2011-04-06,
282,QUADRATURE DECODER,2011-04-06,2011-04-06,
283,STORAGE ARRAY,2011-04-06,2011-04-06,
284,AM/DSB/SSB GENERATOR,2011-04-06,2011-04-06,
285,AM/DSM RECEIVER,2011-04-06,2011-04-06,
286,"AMPLIFIER, AUDIO",2011-04-06,2011-04-06,
287,ANALYZER RF SECTION,2011-04-06,2011-04-06,
288,"ANALYZER, AM/FM STEREO",2011-04-06,2011-04-06,
289,"ANALYZER, RF",2011-04-06,2011-04-06,
290,"ANALYZER, VECTOR SIGNAL",2011-04-06,2011-04-06,
291,"ANALYZER, VIDEO",2011-04-06,2011-04-06,
292,AUDIO GENERATOR,2011-04-06,2011-04-06,
293,BASEBAND CHANNEL/BRICKWALL FILTER,2011-04-06,2011-04-06,
294,BIT-ERROR RATE INDICATOR,2011-04-06,2011-04-06,
295,BPSK DEMODULATOR,2011-04-06,2011-04-06,
296,BPSK MODULATOR,2011-04-06,2011-04-06,
297,CLOCK GENERATOR,2011-04-06,2011-04-06,
298,CLOCK RECOVERY,2011-04-06,2011-04-06,
299,DC VOLTMETER/DC SOURCE,2011-04-06,2011-04-06,
300,DELTA/CVSD DECODER,2011-04-06,2011-04-06,
301,DELTA/CVSD ENCODER,2011-04-06,2011-04-06,
302,DIGITAL GENERATOR,2011-04-06,2011-04-06,
303,DPCM DECODER,2011-04-06,2011-04-06,
304,DPCM ENCODER,2011-04-06,2011-04-06,
305,DUAL DIRECTIONAL COUPLER,2011-04-06,2011-04-06,
306,ENCLOSURE / SUPPLY REGULATOR,2011-04-06,2011-04-06,
307,FM/PM GENERATOR,2011-04-06,2011-04-06,
308,FM/PM RECEIVER,2011-04-06,2011-04-06,
309,FSK MODEM,2011-04-06,2011-04-06,
310,HF/VHF SWR ANALYZER,2011-04-06,2011-04-06,
311,IEEE 488 BUS INTERFACE,2011-04-06,2011-04-06,
312,LINE CODER,2011-04-06,2011-04-06,
313,LINE DECODER,2011-04-06,2011-04-06,
314,LOWPASS AUDIO FILTER,2011-04-06,2011-04-06,
315,NOISE MEASUREMENT FILTERS,2011-04-06,2011-04-06,
316,PAM/ASK GENERATOR,2011-04-06,2011-04-06,
317,PAM/ASK RECEIVER,2011-04-06,2011-04-06,
318,PATTERN GENERATOR,2011-04-06,2011-04-06,
319,PCM DECODER,2011-04-06,2011-04-06,
320,PCM ENCODER,2011-04-06,2011-04-06,
321,PCM TRANSRECEIVER,2011-04-06,2011-04-06,
322,PSUEDO-RANDOM BINARY SEQUENCE GENERATOR,2011-04-06,2011-04-06,
323,PWM/PPM GENERATOR,2011-04-06,2011-04-06,
324,PWM/PPM RECEIVER,2011-04-06,2011-04-06,
325,RMS VOLTMETER,2011-04-06,2011-04-06,
326,SIGNAL INTERRUPTOR/SELECTOR,2011-04-06,2011-04-06,
327,SSB RECEIVER,2011-04-06,2011-04-06,
328,SYNCHRONOUS AUDIO GENERATOR,2011-04-06,2011-04-06,
329,TELEPHONE TRAINING SYSTEM,2011-04-06,2011-04-06,
330,TIME-DIVISION DEMULTIPLEXER,2011-04-06,2011-04-06,
331,TIME-DIVISION MULTIPLEXER,2011-04-06,2011-04-06,
332,TRANSRECEIVER,2011-04-06,2011-04-06,
333,VCR TEST ACCESSORY,2011-04-06,2011-04-06,
334,VIDEO ANALYZER STEREO TV ADDER,2011-04-06,2011-04-06,
335,VIDEO CAMERA,2011-04-06,2011-04-06,
336,VIDEO MEASUREMENT SET,2011-04-06,2011-04-06,
337,VIDEO MONITOR ADAPTOR,2011-04-06,2011-04-06,
338,WAVEFORM/VECTOR MONITOR,2011-04-06,2011-04-06,
339,"TRACER, CURVE",2011-04-06,2011-04-06,
